geohash,lat,lon,city,district
18.5-97.4,18.5,97.4,Mae Hong Son,Mae Sariang
18.3-97.5,18.3,97.5,Mae Hong Son,Mae Sariang
18.4-97.5,18.4,97.5,Mae Hong Son,Mae Sariang
18.4-97.6,18.4,97.6,Mae Hong Son,Mae Sariang
18.5-97.6,18.5,97.6,Mae Hong Son,Mae Sariang
17.9-97.7,17.9,97.7,Mae Hong Son,Sop Moei
18.1-97.7,18.1,97.7,Mae Hong Son,Mae Sariang
18.2-97.7,18.2,97.7,Mae Hong Son,Mae Sariang
18.3-97.7,18.3,97.7,Mae Hong Son,Mae Sariang
18.4-97.7,18.4,97.7,Mae Hong Son,Mae Sariang
18.5-97.7,18.5,97.7,Mae Hong Son,Mae Sariang
17.7-97.8,17.7,97.8,Tak,Tha Song Yang
17.8-97.8,17.8,97.8,Mae Hong Son,Sop Moei
17.9-97.8,17.9,97.8,Mae Hong Son,Sop Moei
18.0-97.8,18.0,97.8,Mae Hong Son,Sop Moei
18.1-97.8,18.1,97.8,Mae Hong Son,Mae Sariang
18.2-97.8,18.2,97.8,Mae Hong Son,Mae Sariang
18.3-97.8,18.3,97.8,Mae Hong Son,Mae Sariang
18.4-97.8,18.4,97.8,Mae Hong Son,Mae Sariang
18.5-97.8,18.5,97.8,Mae Hong Son,Mae La Noi
18.6-97.8,18.6,97.8,Mae Hong Son,Khun Yuam
18.7-97.8,18.7,97.8,Mae Hong Son,Khun Yuam
18.8-97.8,18.8,97.8,Mae Hong Son,Khun Yuam
18.9-97.8,18.9,97.8,Mae Hong Son,Khun Yuam
19.0-97.8,19.0,97.8,Mae Hong Son,Khun Yuam
19.4-97.8,19.4,97.8,Mae Hong Son,Mueang Mae Hong Son
17.6-97.9,17.6,97.9,Tak,Tha Song Yang
17.7-97.9,17.7,97.9,Tak,Tha Song Yang
17.8-97.9,17.8,97.9,Tak,Tha Song Yang
17.9-97.9,17.9,97.9,Mae Hong Son,Sop Moei
18.0-97.9,18.0,97.9,Mae Hong Son,Sop Moei
18.1-97.9,18.1,97.9,Mae Hong Son,Mae Sariang
18.2-97.9,18.2,97.9,Mae Hong Son,Mae Sariang
18.3-97.9,18.3,97.9,Mae Hong Son,Mae La Noi
18.4-97.9,18.4,97.9,Mae Hong Son,Mae La Noi
18.5-97.9,18.5,97.9,Mae Hong Son,Mae La Noi
18.6-97.9,18.6,97.9,Mae Hong Son,Mae La Noi
18.7-97.9,18.7,97.9,Mae Hong Son,Khun Yuam
18.8-97.9,18.8,97.9,Mae Hong Son,Khun Yuam
18.9-97.9,18.9,97.9,Mae Hong Son,Khun Yuam
19.0-97.9,19.0,97.9,Mae Hong Son,Khun Yuam
19.1-97.9,19.1,97.9,Mae Hong Son,Mueang Mae Hong Son
19.2-97.9,19.2,97.9,Mae Hong Son,Mueang Mae Hong Son
19.3-97.9,19.3,97.9,Mae Hong Son,Mueang Mae Hong Son
19.4-97.9,19.4,97.9,Mae Hong Son,Mueang Mae Hong Son
19.5-97.9,19.5,97.9,Mae Hong Son,Mueang Mae Hong Son
17.5-98.0,17.5,98.0,Tak,Tha Song Yang
17.6-98.0,17.6,98.0,Tak,Tha Song Yang
17.7-98.0,17.7,98.0,Tak,Tha Song Yang
17.8-98.0,17.8,98.0,Mae Hong Son,Sop Moei
17.9-98.0,17.9,98.0,Mae Hong Son,Sop Moei
18.0-98.0,18.0,98.0,Mae Hong Son,Sop Moei
18.1-98.0,18.1,98.0,Mae Hong Son,Mae Sariang
18.2-98.0,18.2,98.0,Mae Hong Son,Mae Sariang
18.3-98.0,18.3,98.0,Mae Hong Son,Mae La Noi
18.4-98.0,18.4,98.0,Mae Hong Son,Mae La Noi
18.5-98.0,18.5,98.0,Mae Hong Son,Mae La Noi
18.6-98.0,18.6,98.0,Mae Hong Son,Mae La Noi
18.7-98.0,18.7,98.0,Mae Hong Son,Khun Yuam
18.8-98.0,18.8,98.0,Mae Hong Son,Khun Yuam
18.9-98.0,18.9,98.0,Mae Hong Son,Khun Yuam
19.0-98.0,19.0,98.0,Mae Hong Son,Mueang Mae Hong Son
19.1-98.0,19.1,98.0,Mae Hong Son,Mueang Mae Hong Son
19.2-98.0,19.2,98.0,Mae Hong Son,Mueang Mae Hong Son
19.3-98.0,19.3,98.0,Mae Hong Son,Mueang Mae Hong Son
19.4-98.0,19.4,98.0,Mae Hong Son,Mueang Mae Hong Son
19.5-98.0,19.5,98.0,Mae Hong Son,Mueang Mae Hong Son
19.6-98.0,19.6,98.0,Mae Hong Son,Mueang Mae Hong Son
17.4-98.1,17.4,98.1,Tak,Tha Song Yang
17.5-98.1,17.5,98.1,Tak,Tha Song Yang
17.6-98.1,17.6,98.1,Tak,Tha Song Yang
17.7-98.1,17.7,98.1,Mae Hong Son,Sop Moei
17.8-98.1,17.8,98.1,Mae Hong Son,Sop Moei
17.9-98.1,17.9,98.1,Chiang Mai,Omkoi
18.0-98.1,18.0,98.1,Mae Hong Son,Sop Moei
18.1-98.1,18.1,98.1,Mae Hong Son,Mae Sariang
18.2-98.1,18.2,98.1,Mae Hong Son,Mae Sariang
18.3-98.1,18.3,98.1,Mae Hong Son,Mae Sariang
18.4-98.1,18.4,98.1,Mae Hong Son,Mae La Noi
18.5-98.1,18.5,98.1,Mae Hong Son,Mae La Noi
18.6-98.1,18.6,98.1,Mae Hong Son,Mae La Noi
18.7-98.1,18.7,98.1,Mae Hong Son,Khun Yuam
18.8-98.1,18.8,98.1,Chiang Mai,Mae Chaem
18.9-98.1,18.9,98.1,Mae Hong Son,Khun Yuam
19.0-98.1,19.0,98.1,Mae Hong Son,Mueang Mae Hong Son
19.1-98.1,19.1,98.1,Mae Hong Son,Mueang Mae Hong Son
19.2-98.1,19.2,98.1,Mae Hong Son,Mueang Mae Hong Son
19.3-98.1,19.3,98.1,Mae Hong Son,Mueang Mae Hong Son
19.4-98.1,19.4,98.1,Mae Hong Son,Mueang Mae Hong Son
19.5-98.1,19.5,98.1,Mae Hong Son,Mueang Mae Hong Son
19.6-98.1,19.6,98.1,Mae Hong Son,Pang Mapha
19.7-98.1,19.7,98.1,Mae Hong Son,Pang Mapha
15.1-98.2,15.1,98.2,Kanchanaburi,Sangkhla Buri
17.3-98.2,17.3,98.2,Tak,Tha Song Yang
17.4-98.2,17.4,98.2,Tak,Tha Song Yang
17.5-98.2,17.5,98.2,Tak,Tha Song Yang
17.6-98.2,17.6,98.2,Chiang Mai,Omkoi
17.7-98.2,17.7,98.2,Chiang Mai,Omkoi
17.8-98.2,17.8,98.2,Chiang Mai,Omkoi
17.9-98.2,17.9,98.2,Chiang Mai,Omkoi
18.0-98.2,18.0,98.2,Mae Hong Son,Sop Moei
18.1-98.2,18.1,98.2,Mae Hong Son,Sop Moei
18.2-98.2,18.2,98.2,Chiang Mai,Hot
18.3-98.2,18.3,98.2,Mae Hong Son,Mae Sariang
18.4-98.2,18.4,98.2,Chiang Mai,Mae Chaem
18.5-98.2,18.5,98.2,Chiang Mai,Mae Chaem
18.6-98.2,18.6,98.2,Mae Hong Son,Mae La Noi
18.7-98.2,18.7,98.2,Chiang Mai,Mae Chaem
18.8-98.2,18.8,98.2,Chiang Mai,Mae Chaem
18.9-98.2,18.9,98.2,Chiang Mai,Galyani Vadhana
19.0-98.2,19.0,98.2,Chiang Mai,Galyani Vadhana
19.1-98.2,19.1,98.2,Mae Hong Son,Mueang Mae Hong Son
19.2-98.2,19.2,98.2,Mae Hong Son,Pai
19.3-98.2,19.3,98.2,Mae Hong Son,Pai
19.4-98.2,19.4,98.2,Mae Hong Son,Pang Mapha
19.5-98.2,19.5,98.2,Mae Hong Son,Pang Mapha
19.6-98.2,19.6,98.2,Mae Hong Son,Pang Mapha
19.7-98.2,19.7,98.2,Mae Hong Son,Pang Mapha
7.8-98.3,7.8,98.3,Phuket,Mueang Phuket
7.9-98.3,7.9,98.3,Phuket,Kathu
8.0-98.3,8.0,98.3,Phuket,Thalang
8.1-98.3,8.1,98.3,Phuket,Thalang
8.3-98.3,8.3,98.3,Phangnga,Takua Thung
8.4-98.3,8.4,98.3,Phangnga,Thai Mueang
8.5-98.3,8.5,98.3,Phangnga,Thai Mueang
8.6-98.3,8.6,98.3,Phangnga,Thai Mueang
8.7-98.3,8.7,98.3,Phangnga,Takua Pa
8.8-98.3,8.8,98.3,Phangnga,Takua Pa
8.9-98.3,8.9,98.3,Phangnga,Takua Pa
9.0-98.3,9.0,98.3,Phangnga,Takua Pa
9.1-98.3,9.1,98.3,Phangnga,Khura Buri
14.8-98.3,14.8,98.3,Kanchanaburi,Thong Pha Phum
14.9-98.3,14.9,98.3,Kanchanaburi,Thong Pha Phum
15.0-98.3,15.0,98.3,Kanchanaburi,Sangkhla Buri
15.1-98.3,15.1,98.3,Kanchanaburi,Sangkhla Buri
15.2-98.3,15.2,98.3,Kanchanaburi,Sangkhla Buri
15.3-98.3,15.3,98.3,Kanchanaburi,Sangkhla Buri
17.2-98.3,17.2,98.3,Tak,Tha Song Yang
17.3-98.3,17.3,98.3,Tak,Tha Song Yang
17.4-98.3,17.4,98.3,Chiang Mai,Omkoi
17.5-98.3,17.5,98.3,Tak,Tha Song Yang
17.6-98.3,17.6,98.3,Chiang Mai,Omkoi
17.7-98.3,17.7,98.3,Chiang Mai,Omkoi
17.8-98.3,17.8,98.3,Chiang Mai,Omkoi
17.9-98.3,17.9,98.3,Chiang Mai,Omkoi
18.0-98.3,18.0,98.3,Chiang Mai,Omkoi
18.1-98.3,18.1,98.3,Chiang Mai,Hot
18.2-98.3,18.2,98.3,Chiang Mai,Hot
18.3-98.3,18.3,98.3,Chiang Mai,Mae Chaem
18.4-98.3,18.4,98.3,Chiang Mai,Mae Chaem
18.5-98.3,18.5,98.3,Chiang Mai,Mae Chaem
18.6-98.3,18.6,98.3,Chiang Mai,Mae Chaem
18.7-98.3,18.7,98.3,Chiang Mai,Mae Chaem
18.8-98.3,18.8,98.3,Chiang Mai,Mae Chaem
18.9-98.3,18.9,98.3,Chiang Mai,Mae Chaem
19.0-98.3,19.0,98.3,Chiang Mai,Galyani Vadhana
19.1-98.3,19.1,98.3,Chiang Mai,Galyani Vadhana
19.2-98.3,19.2,98.3,Mae Hong Son,Pai
19.3-98.3,19.3,98.3,Mae Hong Son,Pai
19.4-98.3,19.4,98.3,Mae Hong Son,Pang Mapha
19.5-98.3,19.5,98.3,Mae Hong Son,Pang Mapha
19.6-98.3,19.6,98.3,Mae Hong Son,Pang Mapha
7.9-98.4,7.9,98.4,Phuket,Mueang Phuket
8.0-98.4,8.0,98.4,Phuket,Thalang
8.2-98.4,8.2,98.4,Phangnga,Takua Thung
8.3-98.4,8.3,98.4,Phangnga,Takua Thung
8.4-98.4,8.4,98.4,Phangnga,Takua Thung
8.5-98.4,8.5,98.4,Phangnga,Mueang Phangnga
8.6-98.4,8.6,98.4,Phangnga,Thai Mueang
8.7-98.4,8.7,98.4,Phangnga,Kapong
8.8-98.4,8.8,98.4,Phangnga,Takua Pa
8.9-98.4,8.9,98.4,Phangnga,Takua Pa
9.0-98.4,9.0,98.4,Phangnga,Khura Buri
9.1-98.4,9.1,98.4,Phangnga,Khura Buri
9.2-98.4,9.2,98.4,Phangnga,Khura Buri
9.3-98.4,9.3,98.4,Phangnga,Khura Buri
9.4-98.4,9.4,98.4,Ranong,Suk Samran
14.7-98.4,14.7,98.4,Kanchanaburi,Thong Pha Phum
14.8-98.4,14.8,98.4,Kanchanaburi,Thong Pha Phum
14.9-98.4,14.9,98.4,Kanchanaburi,Thong Pha Phum
15.0-98.4,15.0,98.4,Kanchanaburi,Sangkhla Buri
15.1-98.4,15.1,98.4,Kanchanaburi,Sangkhla Buri
15.2-98.4,15.2,98.4,Kanchanaburi,Sangkhla Buri
15.3-98.4,15.3,98.4,Kanchanaburi,Sangkhla Buri
17.1-98.4,17.1,98.4,Tak,Mae Ramat
17.2-98.4,17.2,98.4,Tak,Tha Song Yang
17.3-98.4,17.3,98.4,Chiang Mai,Omkoi
17.4-98.4,17.4,98.4,Chiang Mai,Omkoi
17.5-98.4,17.5,98.4,Chiang Mai,Omkoi
17.6-98.4,17.6,98.4,Chiang Mai,Omkoi
17.7-98.4,17.7,98.4,Chiang Mai,Omkoi
17.8-98.4,17.8,98.4,Chiang Mai,Omkoi
17.9-98.4,17.9,98.4,Chiang Mai,Omkoi
18.0-98.4,18.0,98.4,Chiang Mai,Omkoi
18.1-98.4,18.1,98.4,Chiang Mai,Hot
18.2-98.4,18.2,98.4,Chiang Mai,Hot
18.3-98.4,18.3,98.4,Chiang Mai,Mae Chaem
18.4-98.4,18.4,98.4,Chiang Mai,Mae Chaem
18.5-98.4,18.5,98.4,Chiang Mai,Mae Chaem
18.6-98.4,18.6,98.4,Chiang Mai,Mae Chaem
18.7-98.4,18.7,98.4,Chiang Mai,Mae Chaem
18.8-98.4,18.8,98.4,Chiang Mai,Mae Chaem
18.9-98.4,18.9,98.4,Chiang Mai,Galyani Vadhana
19.0-98.4,19.0,98.4,Chiang Mai,Galyani Vadhana
19.1-98.4,19.1,98.4,Mae Hong Son,Pai
19.2-98.4,19.2,98.4,Mae Hong Son,Pai
19.3-98.4,19.3,98.4,Mae Hong Son,Pai
19.4-98.4,19.4,98.4,Mae Hong Son,Pai
19.5-98.4,19.5,98.4,Mae Hong Son,Pai
19.6-98.4,19.6,98.4,Mae Hong Son,Pai
19.7-98.4,19.7,98.4,Mae Hong Son,Pai
8.4-98.5,8.4,98.5,Phangnga,Mueang Phangnga
8.5-98.5,8.5,98.5,Phangnga,Mueang Phangnga
8.6-98.5,8.6,98.5,Phangnga,Mueang Phangnga
8.7-98.5,8.7,98.5,Phangnga,Kapong
8.8-98.5,8.8,98.5,Phangnga,Kapong
8.9-98.5,8.9,98.5,Surat Thani,Phanom
9.0-98.5,9.0,98.5,Phangnga,Khura Buri
9.1-98.5,9.1,98.5,Surat Thani,Ban Ta Khun
9.2-98.5,9.2,98.5,Surat Thani,Ban Ta Khun
9.3-98.5,9.3,98.5,Phangnga,Khura Buri
9.4-98.5,9.4,98.5,Ranong,Suk Samran
9.5-98.5,9.5,98.5,Ranong,Kapoe
9.6-98.5,9.6,98.5,Ranong,Kapoe
14.6-98.5,14.6,98.5,Kanchanaburi,Thong Pha Phum
14.7-98.5,14.7,98.5,Kanchanaburi,Thong Pha Phum
14.8-98.5,14.8,98.5,Kanchanaburi,Thong Pha Phum
14.9-98.5,14.9,98.5,Kanchanaburi,Sangkhla Buri
15.0-98.5,15.0,98.5,Kanchanaburi,Sangkhla Buri
15.1-98.5,15.1,98.5,Kanchanaburi,Sangkhla Buri
15.2-98.5,15.2,98.5,Kanchanaburi,Sangkhla Buri
15.3-98.5,15.3,98.5,Kanchanaburi,Sangkhla Buri
15.4-98.5,15.4,98.5,Kanchanaburi,Sangkhla Buri
16.7-98.5,16.7,98.5,Tak,Mae Sot
17.0-98.5,17.0,98.5,Tak,Mae Ramat
17.1-98.5,17.1,98.5,Tak,Mae Ramat
17.2-98.5,17.2,98.5,Tak,Mae Ramat
17.3-98.5,17.3,98.5,Chiang Mai,Omkoi
17.4-98.5,17.4,98.5,Chiang Mai,Omkoi
17.5-98.5,17.5,98.5,Chiang Mai,Omkoi
17.6-98.5,17.6,98.5,Chiang Mai,Omkoi
17.7-98.5,17.7,98.5,Chiang Mai,Omkoi
17.8-98.5,17.8,98.5,Tak,Sam Ngao
17.9-98.5,17.9,98.5,Chiang Mai,Doi Tao
18.0-98.5,18.0,98.5,Chiang Mai,Hot
18.1-98.5,18.1,98.5,Chiang Mai,Hot
18.2-98.5,18.2,98.5,Chiang Mai,Hot
18.3-98.5,18.3,98.5,Chiang Mai,Chom Thong
18.4-98.5,18.4,98.5,Chiang Mai,Chom Thong
18.5-98.5,18.5,98.5,Chiang Mai,Mae Chaem
18.6-98.5,18.6,98.5,Chiang Mai,Mae Wang
18.7-98.5,18.7,98.5,Chiang Mai,Mae Wang
18.8-98.5,18.8,98.5,Chiang Mai,Mae Chaem
18.9-98.5,18.9,98.5,Chiang Mai,Mae Chaem
19.0-98.5,19.0,98.5,Chiang Mai,Samoeng
19.1-98.5,19.1,98.5,Mae Hong Son,Pai
19.2-98.5,19.2,98.5,Mae Hong Son,Pai
19.3-98.5,19.3,98.5,Mae Hong Son,Pai
19.4-98.5,19.4,98.5,Mae Hong Son,Pai
19.5-98.5,19.5,98.5,Mae Hong Son,Pai
19.6-98.5,19.6,98.5,Mae Hong Son,Pai
19.7-98.5,19.7,98.5,Chiang Mai,Wiang Haeng
8.0-98.6,8.0,98.6,Phangnga,Ko Yao
8.4-98.6,8.4,98.6,Phangnga,Mueang Phangnga
8.5-98.6,8.5,98.6,Phangnga,Thap Put
8.6-98.6,8.6,98.6,Phangnga,Thap Put
8.7-98.6,8.7,98.6,Surat Thani,Phanom
8.8-98.6,8.8,98.6,Surat Thani,Phanom
8.9-98.6,8.9,98.6,Surat Thani,Phanom
9.0-98.6,9.0,98.6,Surat Thani,Ban Ta Khun
9.1-98.6,9.1,98.6,Surat Thani,Ban Ta Khun
9.2-98.6,9.2,98.6,Surat Thani,Ban Ta Khun
9.3-98.6,9.3,98.6,Surat Thani,Ban Ta Khun
9.4-98.6,9.4,98.6,Ranong,Suk Samran
9.5-98.6,9.5,98.6,Ranong,Kapoe
9.6-98.6,9.6,98.6,Ranong,Kapoe
9.7-98.6,9.7,98.6,Ranong,Mueang Ranong
9.8-98.6,9.8,98.6,Ranong,Mueang Ranong
9.9-98.6,9.9,98.6,Ranong,Mueang Ranong
10.0-98.6,10.0,98.6,Ranong,Mueang Ranong
14.4-98.6,14.4,98.6,Kanchanaburi,Sai Yok
14.5-98.6,14.5,98.6,Kanchanaburi,Sai Yok
14.6-98.6,14.6,98.6,Kanchanaburi,Thong Pha Phum
14.7-98.6,14.7,98.6,Kanchanaburi,Thong Pha Phum
14.8-98.6,14.8,98.6,Kanchanaburi,Thong Pha Phum
14.9-98.6,14.9,98.6,Kanchanaburi,Sangkhla Buri
15.0-98.6,15.0,98.6,Kanchanaburi,Sangkhla Buri
15.1-98.6,15.1,98.6,Kanchanaburi,Sangkhla Buri
15.2-98.6,15.2,98.6,Kanchanaburi,Sangkhla Buri
15.3-98.6,15.3,98.6,Kanchanaburi,Sangkhla Buri
15.4-98.6,15.4,98.6,Kanchanaburi,Sangkhla Buri
15.5-98.6,15.5,98.6,Kanchanaburi,Sangkhla Buri
15.6-98.6,15.6,98.6,Kanchanaburi,Sangkhla Buri
15.7-98.6,15.7,98.6,Tak,Umphang
15.8-98.6,15.8,98.6,Tak,Umphang
15.9-98.6,15.9,98.6,Tak,Umphang
16.0-98.6,16.0,98.6,Tak,Umphang
16.6-98.6,16.6,98.6,Tak,Mae Sot
16.7-98.6,16.7,98.6,Tak,Mae Sot
16.8-98.6,16.8,98.6,Tak,Mae Sot
16.9-98.6,16.9,98.6,Tak,Mae Sot
17.0-98.6,17.0,98.6,Tak,Mae Ramat
17.1-98.6,17.1,98.6,Tak,Mae Ramat
17.2-98.6,17.2,98.6,Tak,Mae Ramat
17.3-98.6,17.3,98.6,Tak,Sam Ngao
17.4-98.6,17.4,98.6,Tak,Sam Ngao
17.5-98.6,17.5,98.6,Tak,Sam Ngao
17.6-98.6,17.6,98.6,Tak,Sam Ngao
17.7-98.6,17.7,98.6,Tak,Sam Ngao
17.8-98.6,17.8,98.6,Chiang Mai,Doi Tao
17.9-98.6,17.9,98.6,Chiang Mai,Doi Tao
18.0-98.6,18.0,98.6,Chiang Mai,Hot
18.1-98.6,18.1,98.6,Chiang Mai,Hot
18.2-98.6,18.2,98.6,Chiang Mai,Hot
18.3-98.6,18.3,98.6,Chiang Mai,Chom Thong
18.4-98.6,18.4,98.6,Chiang Mai,Chom Thong
18.5-98.6,18.5,98.6,Chiang Mai,Chom Thong
18.6-98.6,18.6,98.6,Chiang Mai,Mae Wang
18.7-98.6,18.7,98.6,Chiang Mai,Mae Wang
18.8-98.6,18.8,98.6,Chiang Mai,Samoeng
18.9-98.6,18.9,98.6,Chiang Mai,Samoeng
19.0-98.6,19.0,98.6,Chiang Mai,Samoeng
19.1-98.6,19.1,98.6,Mae Hong Son,Pai
19.2-98.6,19.2,98.6,Chiang Mai,Mae Taeng
19.3-98.6,19.3,98.6,Chiang Mai,Mae Taeng
19.4-98.6,19.4,98.6,Chiang Mai,Chiang Dao
19.5-98.6,19.5,98.6,Chiang Mai,Wiang Haeng
19.6-98.6,19.6,98.6,Chiang Mai,Wiang Haeng
19.7-98.6,19.7,98.6,Chiang Mai,Wiang Haeng
8.4-98.7,8.4,98.7,Krabi,Ao Luek
8.5-98.7,8.5,98.7,Krabi,Ao Luek
8.6-98.7,8.6,98.7,Phangnga,Thap Put
8.7-98.7,8.7,98.7,Surat Thani,Phanom
8.8-98.7,8.8,98.7,Surat Thani,Phanom
8.9-98.7,8.9,98.7,Surat Thani,Phanom
9.0-98.7,9.0,98.7,Surat Thani,Ban Ta Khun
9.1-98.7,9.1,98.7,Surat Thani,Ban Ta Khun
9.2-98.7,9.2,98.7,Surat Thani,Ban Ta Khun
9.3-98.7,9.3,98.7,Surat Thani,Vibhavadi
9.4-98.7,9.4,98.7,Surat Thani,Tha Chang
9.5-98.7,9.5,98.7,Ranong,Kapoe
9.6-98.7,9.6,98.7,Ranong,Kapoe
9.7-98.7,9.7,98.7,Chumphon,Phato
9.8-98.7,9.8,98.7,Chumphon,Phato
9.9-98.7,9.9,98.7,Ranong,Mueang Ranong
10.0-98.7,10.0,98.7,Ranong,La-Un
10.1-98.7,10.1,98.7,Ranong,La-Un
10.2-98.7,10.2,98.7,Ranong,La-Un
14.3-98.7,14.3,98.7,Kanchanaburi,Sai Yok
14.4-98.7,14.4,98.7,Kanchanaburi,Sai Yok
14.5-98.7,14.5,98.7,Kanchanaburi,Sai Yok
14.6-98.7,14.6,98.7,Kanchanaburi,Thong Pha Phum
14.7-98.7,14.7,98.7,Kanchanaburi,Thong Pha Phum
14.8-98.7,14.8,98.7,Kanchanaburi,Thong Pha Phum
14.9-98.7,14.9,98.7,Kanchanaburi,Thong Pha Phum
15.0-98.7,15.0,98.7,Kanchanaburi,Thong Pha Phum
15.1-98.7,15.1,98.7,Kanchanaburi,Thong Pha Phum
15.2-98.7,15.2,98.7,Kanchanaburi,Sangkhla Buri
15.3-98.7,15.3,98.7,Kanchanaburi,Sangkhla Buri
15.4-98.7,15.4,98.7,Kanchanaburi,Sangkhla Buri
15.5-98.7,15.5,98.7,Kanchanaburi,Sangkhla Buri
15.6-98.7,15.6,98.7,Tak,Umphang
15.7-98.7,15.7,98.7,Tak,Umphang
15.8-98.7,15.8,98.7,Tak,Umphang
15.9-98.7,15.9,98.7,Tak,Umphang
16.0-98.7,16.0,98.7,Tak,Umphang
16.1-98.7,16.1,98.7,Tak,Umphang
16.3-98.7,16.3,98.7,Tak,Phop Phra
16.4-98.7,16.4,98.7,Tak,Phop Phra
16.5-98.7,16.5,98.7,Tak,Phop Phra
16.6-98.7,16.6,98.7,Tak,Mae Sot
16.7-98.7,16.7,98.7,Tak,Mae Sot
16.8-98.7,16.8,98.7,Tak,Mae Sot
16.9-98.7,16.9,98.7,Tak,Mae Sot
17.0-98.7,17.0,98.7,Tak,Mae Ramat
17.1-98.7,17.1,98.7,Tak,Mae Ramat
17.2-98.7,17.2,98.7,Tak,Sam Ngao
17.3-98.7,17.3,98.7,Tak,Sam Ngao
17.4-98.7,17.4,98.7,Tak,Sam Ngao
17.5-98.7,17.5,98.7,Tak,Sam Ngao
17.6-98.7,17.6,98.7,Lamphun,Li
17.7-98.7,17.7,98.7,Tak,Sam Ngao
17.8-98.7,17.8,98.7,Chiang Mai,Doi Tao
17.9-98.7,17.9,98.7,Chiang Mai,Doi Tao
18.0-98.7,18.0,98.7,Chiang Mai,Doi Tao
18.1-98.7,18.1,98.7,Chiang Mai,Hot
18.2-98.7,18.2,98.7,Chiang Mai,Chom Thong
18.3-98.7,18.3,98.7,Lamphun,Ban Hong
18.4-98.7,18.4,98.7,Chiang Mai,Chom Thong
18.5-98.7,18.5,98.7,Chiang Mai,Chom Thong
18.6-98.7,18.6,98.7,Chiang Mai,Doi Lo
18.7-98.7,18.7,98.7,Chiang Mai,Mae Wang
18.8-98.7,18.8,98.7,Chiang Mai,Samoeng
18.9-98.7,18.9,98.7,Chiang Mai,Samoeng
19.0-98.7,19.0,98.7,Chiang Mai,Samoeng
19.1-98.7,19.1,98.7,Chiang Mai,Mae Taeng
19.2-98.7,19.2,98.7,Chiang Mai,Mae Taeng
19.3-98.7,19.3,98.7,Chiang Mai,Mae Taeng
19.4-98.7,19.4,98.7,Chiang Mai,Chiang Dao
19.5-98.7,19.5,98.7,Chiang Mai,Wiang Haeng
19.6-98.7,19.6,98.7,Chiang Mai,Wiang Haeng
19.7-98.7,19.7,98.7,Chiang Mai,Wiang Haeng
8.1-98.8,8.1,98.8,Krabi,Mueang Krabi
8.2-98.8,8.2,98.8,Krabi,Mueang Krabi
8.3-98.8,8.3,98.8,Krabi,Ao Luek
8.4-98.8,8.4,98.8,Krabi,Ao Luek
8.5-98.8,8.5,98.8,Krabi,Plai Phraya
8.6-98.8,8.6,98.8,Krabi,Plai Phraya
8.7-98.8,8.7,98.8,Surat Thani,Phanom
8.8-98.8,8.8,98.8,Surat Thani,Phanom
8.9-98.8,8.9,98.8,Surat Thani,Ban Ta Khun
9.0-98.8,9.0,98.8,Surat Thani,Ban Ta Khun
9.1-98.8,9.1,98.8,Surat Thani,Ban Ta Khun
9.2-98.8,9.2,98.8,Surat Thani,Vibhavadi
9.3-98.8,9.3,98.8,Surat Thani,Vibhavadi
9.4-98.8,9.4,98.8,Surat Thani,Tha Chang
9.5-98.8,9.5,98.8,Surat Thani,Tha Chang
9.6-98.8,9.6,98.8,Surat Thani,Tha Chana
9.7-98.8,9.7,98.8,Chumphon,Phato
9.8-98.8,9.8,98.8,Chumphon,Phato
9.9-98.8,9.9,98.8,Chumphon,Phato
10.0-98.8,10.0,98.8,Ranong,La-Un
10.1-98.8,10.1,98.8,Ranong,La-Un
10.2-98.8,10.2,98.8,Ranong,La-Un
10.3-98.8,10.3,98.8,Ranong,Kra Buri
10.4-98.8,10.4,98.8,Ranong,Kra Buri
14.2-98.8,14.2,98.8,Kanchanaburi,Sai Yok
14.3-98.8,14.3,98.8,Kanchanaburi,Sai Yok
14.4-98.8,14.4,98.8,Kanchanaburi,Sai Yok
14.5-98.8,14.5,98.8,Kanchanaburi,Sai Yok
14.6-98.8,14.6,98.8,Kanchanaburi,Thong Pha Phum
14.7-98.8,14.7,98.8,Kanchanaburi,Thong Pha Phum
14.8-98.8,14.8,98.8,Kanchanaburi,Thong Pha Phum
14.9-98.8,14.9,98.8,Kanchanaburi,Thong Pha Phum
15.0-98.8,15.0,98.8,Kanchanaburi,Thong Pha Phum
15.1-98.8,15.1,98.8,Kanchanaburi,Thong Pha Phum
15.2-98.8,15.2,98.8,Kanchanaburi,Thong Pha Phum
15.3-98.8,15.3,98.8,Kanchanaburi,Sangkhla Buri
15.4-98.8,15.4,98.8,Tak,Umphang
15.5-98.8,15.5,98.8,Tak,Umphang
15.6-98.8,15.6,98.8,Tak,Umphang
15.7-98.8,15.7,98.8,Tak,Umphang
15.8-98.8,15.8,98.8,Tak,Umphang
15.9-98.8,15.9,98.8,Tak,Umphang
16.0-98.8,16.0,98.8,Tak,Umphang
16.1-98.8,16.1,98.8,Tak,Umphang
16.4-98.8,16.4,98.8,Tak,Phop Phra
16.5-98.8,16.5,98.8,Tak,Phop Phra
16.6-98.8,16.6,98.8,Tak,Phop Phra
16.7-98.8,16.7,98.8,Tak,Mae Sot
16.8-98.8,16.8,98.8,Tak,Mae Sot
16.9-98.8,16.9,98.8,Tak,Mae Sot
